caldt,sprtrn
19861016,0.003057
19861017,-0.002881
19861020,-0.012016
19861021,-0.000381
19861022,0.001611
19861023,0.012783
19861024,-0.004263
19861027,0.002141
19861028,0.002052
19861029,0.007022
19861030,0.011497
19861031,0.001108
19861103,0.007460
19861104,0.001627
19861105,0.001543
19861106,-0.002879
19861107,-0.000407
19861110,0.001465
19861111,0.003860
19861112,-0.001781
19861113,-0.014677
19861114,0.006090
19861117,-0.005276
19861118,-0.026438
19861119,0.003717
19861120,0.018472
19861121,0.015741
19861124,0.006467
19861125,0.002910
19861126,0.002418
19861128,0.001809
19861201,-0.000682
19861202,0.019876
19861203,-0.000591
19861204,-0.003191
19861205,-0.007390
19861208,-0.000040
19861209,-0.007485
19861210,0.006739
19861211,-0.011117
19861212,-0.003304
19861215,0.003477
19861216,0.007373
19861217,-0.009918
19861218,-0.003151
19861219,0.011954
19861222,-0.003924
19861223,-0.009688
19861224,0.001664
19861226,0.000689
19861229,-0.009112
19861230,-0.005313
19861231,-0.004931
19870102,0.017674
19870105,0.023291
19870106,0.002340
19870107,0.010088
19870108,0.007637
19870109,0.005636
19870112,0.006068
19870113,-0.001345
19870114,0.010348
19870115,0.010851
19870116,0.002976
19870119,0.011492
19870120,-0.001114
19870121,-0.004460
19870122,0.022663
19870123,-0.013910
19870126,-0.001814
19870127,0.015356
19870128,0.006027
19870129,-0.004212
19870130,-0.000583
19870202,0.008647
19870203,-0.001664
19870204,0.013225
19870205,0.005436
19870206,-0.003983
19870209,-0.006713
19870210,-0.011109
19870211,0.008980
19870212,-0.006918
19870213,0.014803
19870217,0.020701
19870218,-0.000245
19870219,0.000526
19870220,-0.000315
19870223,-0.010859
19870224,0.001771
19870225,0.003959
19870226,-0.003662
19870227,0.004382
19870302,-0.004222
19870303,0.003958
19870304,0.015838
19870305,0.006583
19870306,0.000482
19870309,-0.008119
19870310,0.008880
19870311,-0.001891
19870312,0.003135
19870313,-0.004567
19870316,-0.005726
19870317,0.014710
19870318,0.001060
19870319,0.004440
19870320,0.013908
19870323,0.010028
19870324,0.001594
19870325,-0.004177
19870326,0.001831
19870327,-0.015951
19870330,-0.023402
19870331,0.008645
19870401,0.002365
19870402,0.004241
19870403,0.023090
19870406,0.005126
19870407,-0.017420
19870408,0.001921
19870409,-0.014802
19870410,-0.001263
19870413,-0.023488
19870414,-0.022617
19870415,0.018914
19870416,0.008684
19870420,-0.002858
19870421,0.024398
19870422,-0.020063
19870423,-0.001288
19870424,-0.018478
19870427,0.001101
19870428,0.002413
19870429,0.007292
19870430,0.013318
19870501,-0.001144
19870504,0.004618
19870505,0.020666
19870506,0.000440
19870507,-0.002572
19870508,-0.004547
19870511,-0.006136
19870512,0.005933
19870513,0.002318
19870514,0.000884
19870515,-0.023144
19870518,-0.002714
19870519,-0.024525
19870520,-0.005043
19870521,0.007045
19870522,0.007103
19870526,0.024631
19870527,-0.001314
19870528,0.007031
19870529,-0.002270
19870601,-0.000931
19870602,-0.004727
19870603,0.017368
19870604,0.005520
19870605,-0.005558
19870608,0.011143
19870609,0.001887
19870610,0.000639
19870611,0.004236
19870612,0.009674
19870615,0.005039
19870616,0.005344
19870617,0.000164
19870618,0.002887
19870619,0.004187
19870622,0.008730
19870623,-0.003940
19870624,-0.005090
19870625,0.006844
19870626,-0.005826
19870629,0.002409
19870630,-0.012666
19870701,-0.003487
19870702,0.008880
19870706,-0.002323
19870707,0.008133
19870708,0.002895
19870709,-0.002498
19870710,0.002829
19870713,-0.002464
19870714,0.009915
19870715,-0.000837
19870716,0.007345
19870717,0.006044
19870720,-0.010172
19870721,-0.009120
19870722,-0.000259
19870723,-0.002140
19870724,0.004743
19870727,0.004462
19870728,0.005408
19870729,0.010630
19870730,0.007603
19870731,0.001918
19870803,-0.003421
19870804,-0.004220
19870805,0.007020
19870806,0.011430
19870807,0.002825
19870810,0.015480
19870811,0.016250
19870812,-0.002820
19870813,0.006799
19870814,-0.001972
19870817,0.000359
19870818,-0.014546
19870819,0.001762
19870820,0.015190
19870821,0.003166
19870824,-0.007651
19870825,0.010320
19870826,-0.006533
19870827,-0.009535
19870828,-0.013097
19870831,0.008439
19870901,-0.019406
19870902,-0.005318
19870903,-0.004570
19870904,-0.010962
19870908,-0.009915
19870909,0.001148
19870910,0.010226
19870911,0.015293
19870914,0.003416
19870915,-0.016528
19870916,-0.009064
19870917,0.000222
19870918,-0.000222
19870921,-0.013720
19870922,0.028853
19870923,0.005290
19870924,-0.004577
19870925,0.001376
19870928,0.009495
19870929,-0.004672
19870930,0.000435
19871001,0.017090
19871002,0.002261
19871005,0.000030
19871006,-0.027006
19871007,-0.002130
19871008,-0.013750
19871009,-0.009836
19871012,-0.005401
19871013,0.016581
19871014,-0.029537
19871015,-0.023425
19871016,-0.051597
19871019,-0.204669
19871020,0.053327
19871021,0.090994
19871022,-0.039206
19871023,-0.000121
19871026,-0.082789
19871027,0.024246
19871028,0.000386
19871029,0.049254
19871030,0.028680
19871102,0.015727
19871103,-0.019277
19871104,-0.007416
19871105,0.022172
19871106,-0.015993
19871109,-0.028913
19871110,-0.017149
19871111,0.012134
19871112,0.027367
19871113,-0.011589
19871116,0.004560
19871117,-0.015075
19871118,0.010328
19871119,-0.022399
19871120,0.008123
19871123,0.004091
19871124,0.013992
19871125,-0.009294
19871127,-0.015404
19871130,-0.041774
19871201,0.007382
19871202,0.006250
19871203,-0.035297
19871204,-0.005728
19871207,0.021615
19871208,0.026884
19871209,0.016943
19871210,-0.022270
19871211,0.007492
19871214,0.029194
19871215,0.002519
19871216,0.021746
19871217,-0.020558
19871218,0.025434
19871221,0.001525
19871222,0.001643
19871223,0.012843
19871224,-0.004503
19871228,-0.025593
19871229,-0.003991
19871230,0.013369
19871231,-0.003147
19880104,0.035859
19880105,0.010510
19880106,0.001005
19880107,0.008421
19880108,-0.067683
19880111,0.016804
19880112,-0.008364
19880113,0.001589
19880114,0.000285
19880115,0.025094
19880118,-0.000674
19880119,-0.010164
19880120,-0.026833
19880121,0.002102
19880122,0.013819
19880125,0.023002
19880126,-0.010311
19880127,-0.000761
19880128,0.015679
19880129,0.014924
19880201,-0.007897
19880202,0.002078
19880203,-0.013147
19880204,0.000000
19880205,-0.004956
19880208,-0.007412
19880209,0.010518
19880210,0.019625
19880211,-0.002766
19880212,0.006564
19880216,0.008539
19880217,-0.002386
19880218,-0.005015
19880219,0.014346
19880222,0.015405
19880223,-0.002334
19880224,-0.002226
19880225,-0.010778
19880226,0.003364
19880229,0.020422
19880301,-0.002240
19880302,0.002844
19880303,-0.000373
19880304,-0.002165
19880307,0.000299
19880308,0.007667
19880309,-0.001373
19880310,-0.019401
19880311,0.004169
19880314,0.005397
19880315,-0.000901
19880316,0.009469
19880317,0.009566
19880318,-0.000369
19880321,-0.008778
19880322,0.000372
19880323,0.000260
19880324,-0.020676
19880325,-0.018379
19880328,-0.001741
19880329,0.007789
19880330,-0.007690
19880331,0.003177
19880404,-0.010815
19880405,0.009450
19880406,0.027001
19880407,0.002524
19880408,0.012286
19880411,0.002709
19880412,0.004479
19880413,0.000737
19880414,-0.043525
19880415,0.000077
19880418,-0.002156
19880419,-0.004977
19880420,-0.006940
19880421,0.001132
19880422,0.014507
19880425,0.008918
19880426,0.005601
19880427,-0.000493
19880428,-0.004511
19880429,-0.004874
19880502,0.000880
19880503,0.005505
19880504,-0.010190
19880505,-0.005877
19880506,-0.005062
19880509,-0.003651
19880510,0.004210
19880511,-0.016730
19880512,0.002132
19880513,0.011542
19880516,0.007516
19880517,-0.012833
19880518,-0.015819
19880519,0.004854
19880520,0.001782
19880523,-0.008655
19880524,0.010685
19880525,0.000986
19880526,0.003428
19880527,-0.004752
19880531,0.034488
19880601,0.017280
19880602,-0.005100
19880603,0.004221
19880606,0.002252
19880607,-0.007040
19880608,0.023947
19880609,-0.004862
19880610,0.003923
19880613,0.000627
19880614,0.010574
19880615,0.000547
19880616,-0.017052
19880617,0.003373
19880620,-0.006428
19880621,0.010151
19880622,0.014687
