gvkey,gvkeyx,from,thru,conm,tic,co_tic,co_cusip
003224,000003,19640331,19891215,S&P 500 Comp-Ltd,I0003,CSP.2,200273100
006796,000003,19640331,19901130,S&P 500 Comp-Ltd,I0003,LCE,542290408
006025,000003,19640331,19901204,S&P 500 Comp-Ltd,I0003,FBNIQ,360921209
008308,000003,19640331,19910109,S&P 500 Comp-Ltd,I0003,3PNAA.,697757102
010970,000003,19640331,19910506,S&P 500 Comp-Ltd,I0003,MROX.CM,90399Y931
009965,000003,19640331,19910521,S&P 500 Comp-Ltd,I0003,SQD.1,852206101
007648,000003,19640331,19910919,S&P 500 Comp-Ltd,I0003,NCR,62886E108
010816,000003,19640331,19920131,S&P 500 Comp-Ltd,I0003,USG,903293405
007515,000003,19640331,19920630,S&P 500 Comp-Ltd,I0003,GWOW,37184G104
008617,000003,19640331,19930630,S&P 500 Comp-Ltd,I0003,PZSM.CM,72599Y937
008935,000003,19640331,19930731,S&P 500 Comp-Ltd,I0003,RACM.CM,75199Z931
007724,000003,19640331,19930930,S&P 500 Comp-Ltd,I0003,CUE.1,747633105
001365,000003,19640331,19931112,S&P 500 Comp-Ltd,I0003,AMX.2,023127103
007658,000003,19640331,19931231,S&P 500 Comp-Ltd,I0003,NL,629156407
004595,000003,19640331,19940331,S&P 500 Comp-Ltd,I0003,FJCC,313135501
005141,000003,19640331,19940630,S&P 500 Comp-Ltd,I0003,GEB.1,373712108
010795,000003,19640331,19940712,S&P 500 Comp-Ltd,I0003,UAL,902549500
001430,000003,19640331,19940926,S&P 500 Comp-Ltd,I0003,ACY.1,025321100
007745,000003,19640331,19940926,S&P 500 Comp-Ltd,I0003,AVATQ,05349F402
005109,000003,19640331,19941002,S&P 500 Comp-Ltd,I0003,GCO,371532102
002316,000003,19640331,19941220,S&P 500 Comp-Ltd,I0003,0141A,428300107
007077,000003,19640331,19950315,S&P 500 Comp-Ltd,I0003,ML.3,572900108
003091,000003,19640331,19950521,S&P 500 Comp-Ltd,I0003,CKL,181396102
